Número total de caracteres en el texto: 601827

Caracteres y sus frecuencias:
Caracter:  , Frecuencia: 99429
Caracter: e, Frecuencia: 60098
Caracter: t, Frecuencia: 42928
Caracter: o, Frecuencia: 36931
Caracter: a, Frecuencia: 36154
Caracter: n, Frecuencia: 32002
Caracter: i, Frecuencia: 29278
Caracter: s, Frecuencia: 29013
Caracter: r, Frecuencia: 28779
Caracter: h, Frecuencia: 28004
Caracter: d, Frecuencia: 20310
Caracter: l, Frecuencia: 16954
Caracter: u, Frecuencia: 13667
Caracter: m, Frecuencia: 13508
Caracter: c, Frecuencia: 12691
Caracter: f, Frecuencia: 11360
Caracter: w, Frecuencia: 10431
Caracter: ,, Frecuencia: 10122
Caracter: 
, Frecuencia: 9920
Caracter: y, Frecuencia: 9273
Caracter: g, Frecuencia: 8687
Caracter: p, Frecuencia: 8547
Caracter: b, Frecuencia: 7131
Caracter: v, Frecuencia: 5104
Caracter: I, Frecuencia: 3274
Caracter: ., Frecuencia: 3063
Caracter: k, Frecuencia: 2733
Caracter: ;, Frecuencia: 1567
Caracter: T, Frecuencia: 975
Caracter: x, Frecuencia: 850
Caracter: _, Frecuencia: 816
Caracter: j, Frecuencia: 646
Caracter: H, Frecuencia: 550
Caracter: q, Frecuencia: 514
Caracter: A, Frecuencia: 452
Caracter: “, Frecuencia: 390
Caracter: E, Frecuencia: 378
Caracter: -, Frecuencia: 354
Caracter: B, Frecuencia: 353
Caracter: ”, Frecuencia: 332
Caracter: :, Frecuencia: 315
Caracter: ’, Frecuencia: 309
Caracter: G, Frecuencia: 234
Caracter: Y, Frecuencia: 223
Caracter: L, Frecuencia: 215
Caracter: S, Frecuencia: 214
Caracter: P, Frecuencia: 207
Caracter: W, Frecuencia: 197
Caracter: R, Frecuencia: 183
Caracter: O, Frecuencia: 181
Caracter: F, Frecuencia: 165
Caracter: (, Frecuencia: 151
Caracter: ), Frecuencia: 151
Caracter: z, Frecuencia: 150
Caracter: N, Frecuencia: 149
Caracter: M, Frecuencia: 145
Caracter: C, Frecuencia: 128
Caracter: 1, Frecuencia: 117
Caracter: D, Frecuencia: 111
Caracter: U, Frecuencia: 97
Caracter: V, Frecuencia: 58
Caracter: ?, Frecuencia: 57
Caracter: ™, Frecuencia: 57
